has_handle,counts,counts_tobit,fem_dum,dem_dum,rep_dum,state_num,sentiment_total,party,womens_issues,education,health_care,ideology_total,BlackorLatino_legislator,years_since_elected
1,457,457,0,0,1,24,0.054704607,R,0.054704592,0.010940919,0.043763675,0.129102856,NA,9
1,3240,3240,0,0,1,9,0.744135797,R,0.026851851,0.012962963,0.013888889,0.190432101,NA,NA
0,NA,0,0,0,1,18,NA,R,NA,NA,NA,NA,NA,12
1,NA,0,0,1,0,44,NA,D,NA,NA,NA,NA,NA,9
1,805,805,0,0,1,9,0.696894407,R,0.027329192,0.026086956,0.001242236,0.301863372,NA,NA
1,1056,1056,0,0,1,43,0.434659094,R,0.046401516,0.007575758,0.038825758,0.272727281,NA,17
1,1953,1953,0,0,1,9,0.602150559,R,0.033282131,0.025601638,0.007680492,0.213005632,NA,NA
0,NA,0,1,1,0,44,NA,D,NA,NA,NA,NA,NA,3
1,3187,3187,1,1,0,4,0.300282389,D,0.101976782,0.090053342,0.011923439,0.023219332,NA,9
1,1535,1535,0,0,1,25,0.592833877,R,0.009771987,0.005211726,0.004560261,0.176547229,NA,11
1,NA,0,0,1,0,18,NA,D,NA,NA,NA,NA,NA,12
1,3206,3206,0,0,1,9,-0.078602612,R,0.034310669,0.01091703,0.023393637,0.084840924,NA,NA
1,2012,2012,0,0,1,43,0.704274356,R,0.049701788,0.040258449,0.00944334,0.108349904,NA,9
1,NA,0,0,0,1,43,NA,R,NA,NA,NA,NA,NA,2
0,NA,0,0,0,1,25,NA,R,NA,NA,NA,NA,NA,15
0,NA,0,0,0,1,18,NA,R,NA,NA,NA,NA,NA,8
1,1526,1526,0,0,1,25,0.472477078,R,0.01965924,0.014416776,0.005242464,0.155963302,NA,7
1,3,3,0,0,1,43,0,R,0,0,0,-0.333333343,NA,11
1,852,852,0,0,1,43,0.468309879,R,0.038732395,0.007042253,0.031690139,0.18192488,NA,27
0,NA,0,0,0,1,43,NA,R,NA,NA,NA,NA,NA,11
1,715,715,0,0,1,4,0.436363667,R,0.047552448,0.023776224,0.023776224,0.265734255,NA,6
0,NA,0,0,1,0,25,NA,D,NA,NA,NA,NA,NA,23
1,3,3,0,0,1,43,0.666666687,R,0,0,0,0,NA,7
1,1337,1337,1,1,0,44,0.249065101,D,0.031413615,0.009723261,0.021690352,-0.014210925,NA,5
1,170,170,0,0,1,14,0.717647076,R,0.023529412,0.023529412,0,0.158823535,NA,NA
0,NA,0,0,0,0,18,NA,Ind,NA,NA,NA,NA,NA,12
0,NA,0,0,0,1,44,NA,R,NA,NA,NA,NA,NA,9
1,19,19,0,1,0,44,0.473684222,D,0,0,0,0,NA,5
1,3193,3193,0,1,0,14,0.578139663,D,0.063889757,0.05230191,0.011587848,0.082680866,NA,NA
0,NA,0,0,1,0,18,NA,D,NA,NA,NA,NA,NA,12
1,3183,3183,0,0,1,36,0.327049971,R,0.019478479,0.012566761,0.006911718,0.180647194,0,NA
0,NA,0,0,0,1,48,NA,R,NA,NA,NA,NA,0,NA
0,NA,0,0,1,0,21,NA,D,NA,NA,NA,NA,NA,NA
1,NA,0,0,1,0,11,NA,D,NA,NA,NA,NA,NA,NA
1,1,1,0,0,1,36,0,R,0,0,0,0,NA,NA
0,NA,0,0,0,1,28,NA,R,NA,NA,NA,NA,0,2
