IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ReservationStatusDate,ticker,hotel,book_id,ArrivalDate
0,18,2015,Jul,27,1,0,4,2,1,0,HB       ,ESP,Online TA,TA/TO,0,0,0,G               ,G               ,1,No Deposit,241,       NULL,0,Transient,154.77,0,1,Check-Out,7/5/2015,14,Resort,RTransient2015July1-14,7/1/2015
0,96,2015,Jul,27,2,2,5,2,0,0,BB       ,ESP,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit,134,       NULL,0,Transient,,0,1,Check-Out,7/9/2015,13,resort,RTransient2015July2-13,7/2/2015
0,98,2015,Jul,27,4,2,1,2,0,0,BB       ,FRA,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit,8,       NULL,0,Transient,71.55,1,0,Check-Out,7/7/2015,2,Resort,RTransient2015July4-2,7/4/2015
1,26,2015,Jul,27,4,2,5,2,2,0,BB       ,PRT,Online TA,TA/TO,0,0,0,H               ,H               ,0,No Deposit,240,       NULL,0,Transient,163,0,0,Canceled,6/9/2015,6,Resort,RTransient2015July4-6,7/4/2015
0,44,2015,Jul,28,5,2,0,3,0,0,HB       ,PRT,Online TA,TA/TO,0,0,0,G               ,G               ,3,No Deposit,240,       NULL,0,Transient,225,2,0,Check-Out,7/7/2015,10,Resort,RTransient2015July5-10,7/5/2015
1,44,2015,Jul,28,9,0,3,2,2,0,BB       ,PRT,Online TA,TA/TO,0,0,0,G               ,G               ,0,No Deposit,240,       NULL,0,Transient,153,0,0,Canceled,6/16/2015,6,Resort,RTransient2015July9-6,7/9/2015
0,108,2015,Jul,28,10,0,2,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,D               ,D               ,1,No Deposit,240,       NULL,0,Transient,87.3,0,2,Check-Out,7/12/2015,8,Resort,RTransient2015July10-8,7/10/2015
0,110,2015,Jul,28,11,2,5,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,E               ,E               ,0,No Deposit,250,       NULL,0,Transient,139.4,0,1,Check-Out,7/18/2015,7,Resort,RTransient2015July11-7,7/11/2015
1,60,2015,Jul,29,13,1,4,,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit,15,       NULL,0,Transient,79.5,0,0,Canceled,6/24/2015,16,Resort,RTransient2015July13-16,7/13/2015
0,40,2015,Jul,29,13,1,4,2,0,0,BB       ,ESP,Direct,Direct,0,0,0,D               ,D               ,0,No Deposit,250,       NULL,0,Transient,120,0,2,Check-Out,7/18/2015,18,Resort,RTransient2015July13-18,7/13/2015
0,109,2015,Jul,29,13,1,4,3,0,0,HB       ,PRT,Direct,Direct,0,0,0,E               ,E               ,0,No Deposit,       NULL,       NULL,0,Transient,163.8,0,1,Check-Out,7/18/2015,24,Resort,RTransient2015July13-24,7/13/2015
1,7,2015,Jul,29,17,0,2,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,A               ,0,No Deposit,       NULL,       NULL,0,Transient,127.25,0,1,Canceled,7/13/2015,7,Resort,RTransient2015July17-7,7/17/2015
0,0,2015,Jul,29,18,0,1,2,2,0,FB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,0,No Deposit,       NULL,       NULL,0,Transient,249,0,0,Check-Out,7/19/2015,15,Resort,RTransient2015July18-15,7/18/2015
0,41,2015,Jul,30,19,2,5,2,,0,HB       ,ESP,Online TA,TA/TO,0,0,0,C               ,C               ,0,No Deposit,241,       NULL,0,Transient,131.37,0,1,Check-Out,7/26/2015,11,Resort,RTransient2015July19-11,7/19/2015
0,65,2015,Jul,30,20,2,5,2,2,0,BB       ,GBR,Online TA,TA/TO,0,0,0,C               ,C               ,0,No Deposit,105,       NULL,0,Transient,167.5,0,0,Check-Out,7/27/2015,20,Resort,RTransient2015July20-20,7/20/2015
0,39,2015,Jul,30,20,3,7,2,1,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,1,No Deposit,142,       NULL,0,Transient,141.6,0,1,Check-Out,7/30/2015,29,resort,RTransient2015July20-29,7/20/2015
0,89,2015,Jul,30,21,1,5,3,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,D               ,0,No Deposit,250,       NULL,0,Transient,163.33,1,1,Check-Out,7/27/2015,7,Resort,RTransient2015July21-7,7/21/2015
1,19,2015,Jul,30,23,1,3,2,2,0,BB       ,PRT,Online TA,TA/TO,0,0,0,H               ,H               ,0,No Deposit,240,       NULL,0,Transient,210,0,0,Canceled,7/6/2015,9,Resort,RTransient2015July23-9,7/23/2015
