Transaction_ID,Configuration,Screen_Size,Battery_Life,RAM,Processor_Speeds,Integrated_Wireless,HD_Size,Bundled_Applications,Retail_Price
5622,51,15,4,2,1.5,Yes,80,Yes,460
52758,695,17,5,4,2,Yes,300,Yes,
977,299,15,6,1,1.5,No,80,Yes,490
215756,303,15,6,1,1.5,No,300,Yes,525
294662,394,15,6,4,1.5,No,40,No,550
150118,603,17,5,1,2,No,80,Yes,364
265452,512,17,4,2,2,No,300,No,535
147608,666,17,5,2,2.4,No,40,No,343
266994,618,17,5,1,2.4,No,40,No,440
33870,213,15,5,2,2,Yes,120,Yes,485
250185,288,15,5,4,2.4,No,300,No,640
165363,557,17,4,4,2,No,120,Yes,685
294119,725,17,6,1,1.5,Yes,120,Yes,600
174134,603,17,5,1,2,No,80,Yes,520
259104,817,17,6,4,1.5,Yes,40,Yes,720
69026,166,15,5,1,2,Yes,120,No,400
192208,749,17,6,1,2,No,120,Yes,615
203609,447,17,4,1,1.5,No,300,Yes,550
113796,598,17,5,1,2,Yes,120,No,515
151284,100,15,4,4,1.5,Yes,80,No,510
246511,212,15,5,2,2,Yes,80,No,355
197629,777,17,6,2,1.5,No,40,Yes,560
37607,318,15,6,1,2,No,120,No,465
64852,179,15,5,1,2.4,Yes,80,Yes,480
136392,191,15,5,1,2.4,No,300,Yes,530
7070,8,15,4,1,1.5,Yes,300,No,440
18112,364,15,6,2,2,No,80,No,
25114,354,15,6,2,2,Yes,40,No,465
205874,214,15,5,2,2,Yes,120,No,385
142565,308,15,6,1,2,Yes,80,No,450
190533,855,17,6,4,2.4,Yes,300,Yes,890
286342,473,17,4,1,2.4,No,40,Yes,470
274867,310,15,6,1,2,Yes,120,No,450
187962,526,17,4,2,2.4,No,120,No,520
286578,538,17,4,4,1.5,No,40,No,550
152863,470,17,4,1,2.4,Yes,120,No,515
47552,200,15,5,2,1.5,Yes,300,No,460
198319,675,17,5,4,1.5,Yes,80,Yes,680
56429,694,17,5,4,2,Yes,120,No,675
90007,620,17,5,1,2.4,No,80,No,505
34961,202,15,5,2,1.5,No,40,No,330
297032,76,15,4,2,2,No,80,No,305
86015,861,17,6,4,2.4,No,120,Yes,810
83172,79,15,4,2,2,No,300,Yes,485
177486,694,17,5,4,2,Yes,120,No,675
244526,330,15,6,1,2.4,No,40,No,425
216367,495,17,4,2,1.5,No,300,Yes,570
43096,675,17,5,4,1.5,Yes,80,Yes,680
212027,88,15,4,2,2.4,Yes,300,No,500
234923,383,15,6,2,2.4,No,300,Yes,620
197047,820,17,6,4,1.5,Yes,80,No,710
110199,545,17,4,4,2,Yes,40,Yes,645
198231,856,17,6,4,2.4,Yes,300,No,840
9933,363,15,6,2,2,No,80,Yes,555
218145,159,15,5,1,1.5,No,300,Yes,440
216119,703,17,5,4,2,No,300,Yes,765
65831,624,17,5,1,2.4,No,300,No,590
134100,497,17,4,2,2,Yes,40,Yes,525
113989,618,17,5,1,2.4,No,40,No,460
46221,481,17,4,2,1.5,Yes,40,Yes,364
110998,623,17,5,1,2.4,No,300,Yes,630
26648,21,15,4,1,2,Yes,120,Yes,440
278310,491,17,4,2,1.5,No,80,Yes,480
161234,763,17,6,1,2.4,No,80,Yes,625
230814,659,17,5,2,2.4,Yes,80,Yes,580
203726,356,15,6,2,2,Yes,80,No,445
295471,203,15,5,2,1.5,No,80,Yes,350
197815,581,17,5,1,1.5,Yes,120,Yes,530
94654,789,17,6,2,2,Yes,120,Yes,695
101557,265,15,5,4,2,No,40,Yes,545
255413,103,15,4,4,1.5,Yes,300,Yes,640
50566,543,17,4,4,1.5,No,300,Yes,504
9172,15,15,4,1,1.5,No,300,Yes,465
10123,163,15,5,1,2,Yes,80,Yes,450
220740,194,15,5,2,1.5,Yes,40,No,290
240795,851,17,6,4,2.4,Yes,80,Yes,810
77858,371,15,6,2,2.4,Yes,80,Yes,600
239691,105,15,4,4,1.5,No,40,Yes,500
179814,151,15,5,1,1.5,Yes,300,Yes,329
106187,115,15,4,4,2,Yes,80,Yes,585
264796,116,15,4,4,2,Yes,80,No,
126852,370,15,6,2,2.4,Yes,40,No,500
11227,299,15,6,1,1.5,No,80,Yes,485
34985,8,15,4,1,1.5,Yes,300,No,420
17560,217,15,5,2,2,No,40,Yes,425
34978,344,15,6,2,1.5,Yes,300,No,550
286789,365,15,6,2,2,No,120,Yes,475
22799,165,15,5,1,2,Yes,120,Yes,465
221552,576,17,4,4,2.4,No,300,No,720
11705,209,15,5,2,2,Yes,40,Yes,455
30763,223,15,5,2,2,No,300,Yes,535
153750,491,17,4,2,1.5,No,80,Yes,510
