City,Country,Venue,CityNight,NumOpeningActs,TicketsSold,TicketsAvailable,SoldOut,Revenue,Tour
Evansville,United States,Roberts Municipal Stadium,1,2,7463,7463,1,360617,Fearless Tour
Jonesboro,United States,Convocation Center,1,2,7822,7822,1,340328,Fearless Tour
St. Louis,United States,Scottrade Center,1,2,13764,13764,1,650420,Fearless Tour
Alexandria,United States,Bishop Ireton High School,1,2,,,,,Fearless Tour
North Charleston,United States,North Charleston Coliseum,1,2,8751,8751,1,398154,Fearless Tour
Jacksonville,United States,Jacksonville Veterans Memorial Arena,1,2,11072,11072,1,507012,Fearless Tour
Biloxi,United States,Mississippi Coast Coliseum,1,2,9436,9436,1,437313,Fearless Tour
London,England,Shepherd's Bush Empire,1,,6789,6789,1,401328,Fearless Tour
London,England,Shepherd's Bush Empire,2,,6789,6789,1,401328,Fearless Tour
Spokane,United States,Spokane Arena,1,2,10798,10798,1,482146,Fearless Tour
Seattle,United States,KeyArena,1,2,12061,12061,1,528637,Fearless Tour
Portland,United States,Rose Garden Arena,1,2,13226,13226,1,613284,Fearless Tour
Nampa,United States,Ford Arena,1,2,8970,8970,1,413622,Fearless Tour
Glendale,United States,Jobing.com Arena,1,2,13052,13052,1,647923,Fearless Tour
Los Angeles,United States,Staples Center,1,2,13648,13648,1,720940,Fearless Tour
Paradise,United States,Mandalay Bay Events Center,1,2,8311,8311,1,551051,Fearless Tour
San Diego,United States,Valley View Casino Center,1,2,10174,10174,1,502689,Fearless Tour
Salt Lake City,United States,EnergySolutions Arena,1,2,13042,13042,1,555207,Fearless Tour
New Brockton,United States,BamaJam Farms,1,,,,,,Fearless Tour
Columbia,United States,Merriweather Post Pavilion,1,2,17619,17619,1,608438,Fearless Tour
Greensboro,United States,Greensboro Coliseum,1,2,14641,14641,1,690959,Fearless Tour
Oshkosh,United States,Ford Festival Park,1,,,,,,Fearless Tour
Cadott,United States,Amphitheatre Concert Grounds,1,,,,,,Fearless Tour
Calgary,Canada,Pengrowth Saddledome,1,2,,,,,Fearless Tour
Edmonton,Canada,Commonwealth Stadium,1,,33910,44500,0,2540906,Fearless Tour
Craven,Canada,Big Valley Park,1,,,,,,Fearless Tour
Winnipeg,Canada,MTS Centre,1,2,11369,11369,1,512487,Fearless Tour
Twin Lakes,United States,Country Thunder Festival,1,,,,,,Fearless Tour
Columbus,United States,Value City Arena,1,2,,,,,Fearless Tour
