City,Country,Venue,NumOpeningActs,OpeningAct1,OpeningAct2,OpeningAct3,TicketsSold,TicketsAvailable,SoldOut,Revenue,Tour
Evansville,United States,Roberts Municipal Stadium,2,Gloriana,Kellie Pickler,,7463,7463,1,360617,Fearless_Tour
Jonesboro,United States,Convocation Center,2,Gloriana,Kellie Pickler,,7822,7822,1,340328,Fearless_Tour
St. Louis,United States,Scottrade Center,2,Gloriana,Kellie Pickler,,13764,13764,1,650420,Fearless_Tour
Alexandria,United States,Bishop Ireton High School,2,Gloriana,Kellie Pickler,,,,,,Fearless_Tour
North Charleston,United States,North Charleston Coliseum,2,Gloriana,Kellie Pickler,,8751,8751,1,398154,Fearless_Tour
Jacksonville,United States,Jacksonville Veterans Memorial Arena,2,Gloriana,Kellie Pickler,,11072,11072,1,507012,Fearless_Tour
Biloxi,United States,Mississippi Coast Coliseum,2,Gloriana,Kellie Pickler,,9436,9436,1,437313,Fearless_Tour
London,England,"Shepherd's Bush Empire",0,,,,6789,6789,1,401328,Fearless_Tour
London,England,"Shepherd's Bush Empire",0,,,,6789,6789,1,401328,Fearless_Tour
Spokane,United States,Spokane Arena,2,Gloriana,Kellie Pickler,,10798,10798,1,482146,Fearless_Tour
Seattle,United States,KeyArena,2,Gloriana,Kellie Pickler,,12061,12061,1,528637,Fearless_Tour
Portland,United States,Rose Garden Arena,2,Gloriana,Kellie Pickler,,13226,13226,1,613284,Fearless_Tour
Nampa,United States,Ford Arena,2,Gloriana,Kellie Pickler,,8970,8970,1,413622,Fearless_Tour
Glendale,United States,Jobing.com Arena,2,Gloriana,Kellie Pickler,,13052,13052,1,647923,Fearless_Tour
Los Angeles,United States,Staples Center,2,Gloriana,Kellie Pickler,,13648,13648,1,720940,Fearless_Tour
Paradise,United States,Mandalay Bay Events Center,2,Gloriana,Kellie Pickler,,8311,8311,1,551051,Fearless_Tour
San Diego,United States,Valley View Casino Center,2,Gloriana,Kellie Pickler,,10174,10174,1,502689,Fearless_Tour
Salt Lake City,United States,EnergySolutions Arena,2,Gloriana,Kellie Pickler,,13042,13042,1,555207,Fearless_Tour
New Brockton,United States,BamaJam Farms,0,,,,,,,,Fearless_Tour
Columbia,United States,Merriweather Post Pavilion,2,Gloriana,Kellie Pickler,,17619,17619,1,608438,Fearless_Tour
Greensboro,United States,Greensboro Coliseum,2,Gloriana,Kellie Pickler,,14641,14641,1,690959,Fearless_Tour
Oshkosh,United States,Ford Festival Park,0,,,,,,,,Fearless_Tour
Cadott,United States,Amphitheatre Concert Grounds,,,,,,,,,Fearless_Tour
Calgary,Canada,Pengrowth Saddledome,2,Gloriana,Kellie Pickler,,,,,,Fearless_Tour
Edmonton,Canada,Commonwealth Stadium,,,,,33910,44500,0,2540906,Fearless_Tour
Craven,Canada,Big Valley Park,,,,,,,,,Fearless_Tour
Winnipeg,Canada,MTS Centre,2,Gloriana,Kellie Pickler,,11369,11369,1,512487,Fearless_Tour
Twin Lakes,United States,Country Thunder Festival,,,,,,,,,Fearless_Tour
Columbus,United States,Value City Arena,2,Gloriana,Kellie Pickler,,,,,,Fearless_Tour
Charleston,United States,Charleston Civic Center,2,Gloriana,Kellie Pickler,,,,,,Fearless_Tour
Cheyenne,United States,Cheyenne Frontier Days Arena,1,Kellie Pickler,,,,,,,Fearless_Tour
