id,Gender,Customer_Type,Age,Class,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,satisfaction
19556,Female,Loyal_Customer,52,Eco,3,4,3,5,5,5,2,5,5,1
90035,Female,Loyal_Customer,36,Business,5,4,5,4,4,4,3,4,5,1
12360,Male,disloyal_Customer,20,Eco,2,2,2,2,1,3,2,2,2,0
77959,Male,Loyal_Customer,44,Business,3,4,4,1,1,1,3,1,4,1
36875,Female,Loyal_Customer,49,Eco,4,1,2,2,2,2,4,2,4,1
39177,Male,Loyal_Customer,16,Eco,5,5,3,5,3,1,1,2,5,1
79433,Female,Loyal_Customer,77,Business,3,5,5,5,5,5,4,5,3,1
97286,Female,Loyal_Customer,43,Business,4,4,5,4,4,4,5,4,3,1
27508,Male,Loyal_Customer,47,Eco,5,5,5,5,2,5,3,3,5,1
62482,Female,Loyal_Customer,46,Business,3,4,4,4,4,4,5,4,4,1
47583,Female,Loyal_Customer,47,Eco,5,1,5,3,4,3,1,3,4,1
115550,Female,Loyal_Customer,33,Business,1,3,4,2,2,2,3,2,4,0
119987,Female,Loyal_Customer,46,Business,4,5,5,5,5,5,5,5,3,1
42141,Female,Loyal_Customer,60,Business,5,5,4,5,5,5,3,5,5,1
2274,Female,Loyal_Customer,52,Business,5,5,4,4,4,4,3,4,5,1
22470,Male,Loyal_Customer,50,Eco,2,0,2,2,2,4,4,5,2,0
124915,Female,Loyal_Customer,31,Eco,2,2,2,2,3,3,4,3,2,0
17836,Male,Loyal_Customer,52,Eco_Plus,4,5,4,4,5,5,4,5,4,1
76872,Female,Loyal_Customer,43,Eco,4,4,5,5,3,5,4,5,3,0
64287,Female,Loyal_Customer,50,Business,4,5,4,4,5,4,5,4,5,1
63995,Male,Loyal_Customer,60,Business,2,4,5,5,5,5,5,5,5,1
75855,Male,Loyal_Customer,43,Eco,2,3,2,2,2,4,4,5,2,0
106181,Male,Loyal_Customer,55,Eco,4,4,4,4,3,2,4,3,4,0
44304,Male,Loyal_Customer,25,Business,4,4,4,4,5,3,1,5,4,1
82602,Female,disloyal_Customer,30,Eco,2,5,2,2,2,3,4,4,2,0
7823,Male,Loyal_Customer,62,Eco,2,3,2,2,5,5,4,4,2,0
127781,Male,Loyal_Customer,24,Business,2,2,2,2,5,5,5,4,2,1
34501,Female,Loyal_Customer,22,Eco,4,4,4,4,4,1,1,5,4,1
121658,Male,Loyal_Customer,44,Business,5,4,5,5,5,5,5,5,5,1
20219,Male,Loyal_Customer,51,Eco,4,4,4,4,2,3,3,4,4,0
67551,Male,Loyal_Customer,43,Business,1,1,4,3,1,5,4,3,5,0
48994,Female,Loyal_Customer,56,Eco,5,2,5,2,2,2,2,2,2,1
70811,Male,disloyal_Customer,41,Eco,5,2,5,5,3,3,1,4,5,0
75241,Male,Loyal_Customer,22,Eco,5,4,5,5,4,4,4,4,5,0
12312,Female,Loyal_Customer,53,Eco,3,4,2,5,5,5,2,5,4,1
48372,Male,Loyal_Customer,12,Eco,1,3,1,1,3,5,4,4,1,0
51477,Female,Loyal_Customer,39,Business,2,4,5,4,4,4,4,4,5,1
84204,Female,Loyal_Customer,55,Business,3,5,4,5,5,5,3,5,5,1
70990,Female,disloyal_Customer,32,Business,2,4,4,2,2,4,3,5,2,0
101991,Female,Loyal_Customer,40,Eco,5,1,5,5,2,5,5,4,5,0
87447,Female,disloyal_Customer,42,Business,4,3,4,4,2,5,5,5,4,0
16112,Male,disloyal_Customer,24,Eco,2,4,2,2,2,3,1,5,2,1
16172,Male,Loyal_Customer,22,Business,3,3,3,1,4,3,3,2,3,0
106558,Female,Loyal_Customer,28,Business,4,4,4,4,3,5,5,4,4,1
11536,Female,Loyal_Customer,36,Eco_Plus,2,2,2,2,1,3,4,4,2,0
47773,Female,Loyal_Customer,62,Eco,4,2,1,5,5,5,5,5,2,1
70521,Female,Loyal_Customer,60,Business,3,5,4,5,5,5,5,5,3,1
96283,Female,Loyal_Customer,59,Eco,3,3,4,5,2,4,1,5,2,0
117993,Female,Loyal_Customer,49,Business,2,5,4,5,5,5,5,5,3,1
74703,Female,Loyal_Customer,44,Eco,4,4,3,4,2,4,2,4,2,0
110840,Female,Loyal_Customer,58,Eco_Plus,3,4,5,1,2,1,5,1,3,0
88249,Male,disloyal_Customer,24,Business,2,4,2,2,3,5,3,5,2,1
125877,Female,Loyal_Customer,53,Eco,3,3,4,4,4,4,3,4,3,1
83968,Male,Loyal_Customer,56,Eco,2,2,2,2,5,3,3,3,2,0
122719,Female,Loyal_Customer,30,Business,5,5,5,5,5,4,3,5,5,1
3949,Male,disloyal_Customer,27,Business,2,3,2,2,1,3,3,2,2,0
45542,Male,Loyal_Customer,27,Business,5,5,5,5,3,1,1,1,5,1
43742,Female,Loyal_Customer,67,Eco,2,4,5,3,3,3,3,3,5,0
122093,Female,Loyal_Customer,32,Eco,4,3,5,4,2,4,5,3,4,0
121454,Male,disloyal_Customer,36,Eco,1,2,1,1,3,4,1,3,1,0
738,Male,Loyal_Customer,44,Business,5,4,5,4,5,4,4,4,5,1
75235,Female,Loyal_Customer,70,Eco,2,5,5,5,1,5,4,5,3,0
88653,Female,Loyal_Customer,55,Eco,4,3,4,5,3,5,4,5,3,0
26594,Male,Loyal_Customer,66,Eco,4,4,4,4,1,3,2,5,4,1
38339,Female,Loyal_Customer,19,Business,3,4,3,3,3,3,1,2,3,1
46063,Female,Loyal_Customer,53,Eco_Plus,4,4,5,4,1,4,5,4,4,0
27957,Male,Loyal_Customer,22,Business,2,2,2,2,3,2,2,4,2,0
17270,Female,Loyal_Customer,69,Eco,4,2,3,5,2,5,3,5,3,0
87976,Female,Loyal_Customer,42,Business,5,4,4,5,5,5,4,5,3,1
31640,Female,Loyal_Customer,41,Business,2,3,5,4,4,4,5,4,5,1
41461,Female,Loyal_Customer,53,Business,3,3,5,1,3,1,4,1,4,0
15143,Male,Loyal_Customer,35,Business,2,4,3,3,3,3,3,3,2,0
78136,Female,Loyal_Customer,54,Business,2,4,5,2,3,2,4,2,5,0
120433,Male,Loyal_Customer,44,Business,2,5,4,4,4,4,3,4,4,1
41440,Female,disloyal_Customer,26,Eco_Plus,4,2,3,4,2,1,1,4,4,0
15963,Female,Loyal_Customer,44,Eco,2,5,4,5,2,5,3,5,3,0
64303,Female,disloyal_Customer,24,Eco,5,3,5,5,5,5,4,5,5,0
3608,Female,Loyal_Customer,54,Eco,4,5,5,5,2,5,5,5,4,0
7744,Male,Loyal_Customer,42,Eco_Plus,2,2,2,2,3,3,1,2,2,0
21276,Male,disloyal_Customer,36,Eco,1,1,1,1,5,3,1,2,1,0
58576,Female,Loyal_Customer,61,Business,1,1,5,3,4,3,4,3,4,1
53888,Female,Loyal_Customer,50,Eco,4,4,5,2,2,2,3,2,5,0
10980,Male,Loyal_Customer,27,Business,5,5,5,5,4,4,5,2,5,1
54151,Male,Loyal_Customer,55,Business,4,3,2,3,3,3,1,3,4,0
115641,Male,disloyal_Customer,21,Eco,1,1,1,1,4,3,4,3,1,0
58584,Female,Loyal_Customer,31,Business,5,2,5,5,4,3,2,4,5,0
50472,Female,disloyal_Customer,37,Eco,1,1,1,1,4,3,4,3,1,0
102623,Female,Loyal_Customer,50,Business,2,4,4,5,5,5,4,5,5,1
31533,Female,Loyal_Customer,21,Eco,3,1,3,3,4,5,4,5,3,0
42287,Female,Loyal_Customer,53,Eco,1,3,3,4,1,4,4,4,1,0
70467,Male,Loyal_Customer,45,Business,3,4,4,5,5,5,3,5,4,1
20461,Female,disloyal_Customer,42,Eco,5,3,5,5,5,3,5,4,5,0
113346,Male,Loyal_Customer,59,Business,3,5,4,4,4,4,4,4,3,1
115566,Female,Loyal_Customer,54,Eco,5,3,3,2,2,2,4,2,1,0
119896,Female,Loyal_Customer,46,Business,2,4,4,4,4,4,5,4,4,1
88853,Female,Loyal_Customer,52,Eco_Plus,2,5,4,2,3,2,3,2,4,0
24895,Female,Loyal_Customer,38,Eco,5,2,5,5,4,4,5,5,5,0
31122,Male,Loyal_Customer,35,Business,1,4,3,4,4,4,3,4,3,1
91231,Female,Loyal_Customer,41,Eco,4,2,4,4,3,4,1,4,4,0
61426,Female,disloyal_Customer,40,Business,4,2,4,4,2,3,3,5,4,0
68873,Female,disloyal_Customer,36,Eco,4,2,4,4,4,2,4,2,4,0
125701,Male,Loyal_Customer,67,Eco,2,2,2,2,2,4,5,5,2,0
94999,Female,Loyal_Customer,38,Eco,5,4,5,5,2,4,4,4,5,1
56694,Female,Loyal_Customer,50,Eco,5,5,5,5,3,5,3,5,4,0
62010,Male,Loyal_Customer,50,Business,2,5,4,2,2,2,3,2,5,1
95868,Male,Loyal_Customer,54,Business,5,4,5,3,3,3,4,3,5,1
123064,Male,Loyal_Customer,56,Business,4,5,4,4,4,4,3,4,5,1
103418,Male,Loyal_Customer,38,Eco,2,3,2,2,3,4,4,3,2,0
73456,Female,Loyal_Customer,7,Eco,2,3,2,2,4,4,5,5,2,0
8851,Female,Loyal_Customer,32,Business,4,4,4,4,2,5,5,5,4,1
64241,Male,Loyal_Customer,45,Eco,4,4,4,4,5,2,4,3,4,0
81723,Male,disloyal_Customer,25,Eco,3,2,3,3,4,3,1,4,3,0
88237,Female,Loyal_Customer,45,Business,4,5,4,4,4,4,5,4,5,1
50619,Male,Loyal_Customer,34,Eco,1,0,1,1,5,5,2,3,1,0
54444,Male,Loyal_Customer,20,Eco_Plus,1,3,1,1,3,4,4,5,1,0
64765,Female,disloyal_Customer,36,Eco,1,2,1,1,1,3,1,2,1,0
15941,Male,disloyal_Customer,36,Eco,2,3,2,2,4,3,1,3,2,0
14965,Male,Loyal_Customer,27,Business,5,5,5,5,5,2,2,1,5,1
36897,Male,Loyal_Customer,40,Eco,3,2,3,3,2,3,3,4,3,0
127954,Male,Loyal_Customer,31,Business,5,5,5,5,4,4,3,4,5,1
27872,Male,Loyal_Customer,25,Eco_Plus,1,0,1,1,1,4,5,5,1,1
35854,Male,Loyal_Customer,42,Business,1,5,3,5,5,5,4,5,3,1
14527,Female,Loyal_Customer,45,Eco,1,2,3,5,5,5,1,5,3,1
47021,Male,Loyal_Customer,59,Business,4,3,3,3,2,3,2,3,1,0
11224,Male,Loyal_Customer,34,Eco,2,3,5,2,2,1,3,1,2,0
3921,Female,Loyal_Customer,22,Eco,3,3,1,3,5,1,3,2,3,0
69463,Male,Loyal_Customer,21,Eco,2,2,3,2,1,3,2,4,2,0
47050,Male,Loyal_Customer,26,Business,3,3,3,3,2,4,2,3,3,0
21970,Male,Loyal_Customer,37,Business,5,3,1,4,4,4,1,4,5,1
30046,Male,Loyal_Customer,38,Business,2,5,2,4,4,4,1,4,5,1
1256,Female,Loyal_Customer,17,Eco,5,3,3,5,4,5,5,5,5,0
73813,Male,Loyal_Customer,15,Eco_Plus,5,2,5,5,4,5,5,5,5,0
110928,Female,Loyal_Customer,53,Eco,4,4,4,5,3,5,1,5,2,0
102981,Male,disloyal_Customer,39,Business,2,4,2,2,5,5,3,4,2,0
61571,Male,Loyal_Customer,40,Business,2,4,5,5,5,5,3,5,3,1
3796,Female,disloyal_Customer,28,Eco_Plus,4,2,4,4,3,3,1,3,4,0
73906,Female,disloyal_Customer,27,Business,2,3,2,2,3,5,3,5,2,0
74090,Female,Loyal_Customer,41,Business,3,5,5,4,4,4,4,4,5,1
76645,Female,Loyal_Customer,7,Eco,5,2,5,5,4,5,5,4,5,0
100462,Male,disloyal_Customer,48,Business,2,3,2,2,2,5,4,5,2,0
54164,Male,Loyal_Customer,13,Eco,2,1,2,2,3,3,3,4,2,0
6147,Female,Loyal_Customer,48,Business,4,4,4,4,4,4,3,4,5,1
1262,Female,Loyal_Customer,49,Eco,5,3,3,4,3,4,1,4,4,0
20310,Male,disloyal_Customer,26,Business,1,5,1,1,3,5,5,5,1,1
46896,Male,Loyal_Customer,22,Business,3,3,3,3,4,3,5,3,3,1
7237,Female,Loyal_Customer,53,Business,1,3,1,2,3,4,1,2,1,0
44293,Female,Loyal_Customer,43,Eco,3,5,5,4,4,4,5,4,5,1
52496,Male,Loyal_Customer,56,Business,2,5,4,4,4,5,4,4,5,1
68263,Female,Loyal_Customer,69,Eco,3,3,4,5,2,5,1,5,1,0
5289,Male,Loyal_Customer,59,Eco,1,4,1,1,5,4,2,4,1,1
109359,Female,Loyal_Customer,56,Business,5,4,5,2,2,2,4,2,3,1
94988,Male,Loyal_Customer,11,Eco,3,5,3,3,4,5,1,2,3,1
53605,Female,Loyal_Customer,25,Eco,4,4,3,4,1,4,5,1,4,1
11005,Female,disloyal_Customer,29,Eco,2,4,2,2,5,2,2,2,2,1
14794,Female,Loyal_Customer,48,Eco,1,2,1,5,5,5,1,5,2,1
49480,Female,Loyal_Customer,42,Business,4,3,4,4,4,4,2,4,1,1
120440,Male,disloyal_Customer,15,Eco,3,1,4,3,3,5,4,5,3,0
55823,Female,disloyal_Customer,49,Business,2,3,2,2,2,5,5,4,2,0
107792,Male,Loyal_Customer,41,Business,5,5,4,4,4,4,5,4,5,1
80531,Male,Loyal_Customer,43,Business,3,4,4,2,2,2,4,2,5,1
128145,Male,Loyal_Customer,60,Business,4,3,5,5,5,5,5,5,3,1
63370,Female,Loyal_Customer,42,Eco,3,3,3,3,4,1,2,3,2,1
12452,Female,Loyal_Customer,8,Eco,4,3,4,4,5,2,4,3,4,0
16145,Female,Loyal_Customer,42,Eco,5,3,5,5,5,5,5,5,2,1
44418,Male,disloyal_Customer,18,Eco_Plus,3,1,3,3,1,4,1,3,3,0
95746,Male,Loyal_Customer,47,Business,3,5,3,5,5,5,3,5,4,1
41134,Female,disloyal_Customer,27,Eco,5,4,5,5,1,3,2,3,5,0
3214,Female,Loyal_Customer,67,Eco_Plus,5,1,2,1,3,1,1,1,4,0
74101,Male,disloyal_Customer,38,Business,2,5,2,2,5,4,3,5,2,1
106220,Female,disloyal_Customer,20,Eco,3,4,3,3,3,4,5,4,3,0
88134,Female,Loyal_Customer,60,Business,4,4,4,5,4,5,3,5,3,1
64475,Male,disloyal_Customer,23,Business,4,4,4,4,3,5,3,4,4,1
