Employee_ID,date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
12,1/1/2015,Quarter1,sewing,Thursday,8,0.8,26.16,1108,7080,98,0,0,0,59,0.940725424
13,1/1/2015,Quarter1,finishing,Thursday,1,0.75,3.94,,960,0,0,0,0,8,0.8865
14,1/1/2015,Quarter1,finishing,Thursday,1,0.75,3.94,,960,0,0,0,0,8,0.8865
15,1/1/2015,Quarter1,finishing,Thursday,1,0.75,3.94,,960,0,0,0,0,8,0.8865
16,1/1/2015,Quarter1,sewing,Thursday,11,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492
17,1/1/2015,Quarter1,sewing,Thursday,12,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492
18,1/1/2015,Quarter1,sewing,Thursday,6,0.8,25.9,1170,1920,50,0,0,0,56,0.800381944
19,1/1/2015,Quarter1,sewing,Thursday,7,0.8,25.9,984,6720,38,0,0,0,56,0.800125
20,1/1/2015,Quarter1,finishing,Thursday,2,0.75,3.94,,960,0,0,0,0,8,0.755166667
21,1/1/2015,Quarter1,sewing,Thursday,3,0.75,28.08,795,6900,45,0,0,0,57.5,0.753683478
22,1/1/2015,Quarter1,sewing,Thursday,2,0.75,19.87,733,6000,34,0,0,0,55,0.753097531
23,1/1/2015,Quarter1,sewing,Thursday,1,0.75,28.08,681,6900,45,0,0,0,57.5,0.750427826
24,1/1/2015,Quarter1,sewing,Thursday,9,0.7,28.08,872,6900,44,0,0,0,57.5,0.721126957
25,1/1/2015,Quarter1,sewing,Thursday,10,0.75,19.31,578,6480,45,0,0,0,54,0.712205247
26,1/1/2015,Quarter1,sewing,Thursday,5,0.8,11.41,668,3660,50,0,0,0,30.5,0.707045902
27,1/1/2015,Quarter1,finishing,Thursday,10,0.65,3.94,,960,0,0,0,0,8,0.705916667
28,1/1/2015,Quarter1,finishing,Thursday,10,0.65,3.94,,960,0,0,0,0,8,0.705916667
29,1/1/2015,Quarter1,finishing,Thursday,8,0.75,2.9,,960,0,0,0,0,8,0.676666667
30,1/1/2015,Quarter1,finishing,Thursday,4,0.75,3.94,,2160,0,0,0,0,18,0.593055556
31,1/1/2015,Quarter1,finishing,Thursday,7,0.8,2.9,,960,0,0,0,0,8,0.540729167
32,1/1/2015,Quarter1,sewing,Thursday,4,0.65,23.69,861,7200,0,0,0,0,60,0.52118
33,1/1/2015,Quarter1,finishing,Thursday,11,0.7,4.15,,1440,0,0,0,0,,0.436326389
34,1/3/2015,Quarter1,finishing,Saturday,4,0.8,4.15,,6600,0,0,0,0,20,0.988024691
35,1/3/2015,Quarter1,finishing,Saturday,4,0.8,4.15,,6600,0,0,0,0,20,0.988024691
36,1/3/2015,Quarter1,finishing,Saturday,11,0.75,2.9,,5640,0,0,0,0,17,0.987880435
37,1/3/2015,Quarter1,finishing,Saturday,9,0.8,4.15,,960,0,0,0,0,8,0.956270833
38,1/3/2015,Quarter1,finishing,Saturday,3,0.75,3.94,,1560,0,0,0,0,8,0.945277778
39,1/3/2015,Quarter1,finishing,Saturday,1,0.8,3.94,,960,0,0,0,0,8,0.902916667
40,1/3/2015,Quarter1,sewing,Saturday,1,0.8,28.08,772,6300,50,0,0,0,56.5,0.800725314
41,1/3/2015,Quarter1,sewing,Saturday,3,0.8,28.08,913,6540,50,0,0,0,54.5,0.800322936
42,1/3/2015,Quarter1,sewing,Saturday,8,0.8,26.16,1261,7080,50,0,0,0,59,0.800318644
43,1/3/2015,Quarter1,sewing,Saturday,12,0.8,26.16,844,7080,63,0,0,0,59,0.800318644
44,1/3/2015,Quarter1,sewing,Saturday,11,0.8,11.61,1005,7080,50,0,0,0,29.5,0.800237288
45,1/3/2015,Quarter1,sewing,Saturday,5,0.8,11.61,659,7080,50,0,0,0,31.5,0.800148649
46,1/3/2015,Quarter1,sewing,Saturday,6,0.8,25.9,1152,6720,50,0,0,0,56,0.800125
47,1/3/2015,Quarter1,sewing,Saturday,7,0.8,25.9,1138,6720,38,0,0,0,56,0.800125
48,1/3/2015,Quarter1,sewing,Saturday,10,0.75,19.31,610,6480,56,0,0,0,54,0.787299691
49,1/3/2015,Quarter1,finishing,Saturday,2,0.8,4.15,,960,0,0,0,0,8,0.782447917
50,1/3/2015,Quarter1,sewing,Saturday,2,0.75,19.87,944,6600,45,0,0,0,55,0.75024303
51,1/3/2015,Quarter1,finishing,Saturday,10,0.7,4.15,,960,0,0,0,0,8,0.7018125
52,1/3/2015,Quarter1,sewing,Saturday,4,0.7,23.69,544,13800,0,0,0,0,60,0.700134038
53,1/3/2015,Quarter1,sewing,Saturday,9,0.7,28.08,1072,6900,40,0,0,0,57.5,0.699965217
54,1/3/2015,Quarter1,finishing,Saturday,8,0.8,2.9,,960,0,0,0,0,8,0.628333333
55,1/3/2015,Quarter1,finishing,Saturday,7,0.8,3.94,,960,0,0,0,0,8,0.6253125
56,1/4/2015,Quarter1,finishing,Sunday,3,0.75,4.15,,1560,0,0,0,0,8,0.991388889
57,1/4/2015,Quarter1,finishing,Sunday,9,0.8,3.94,,960,0,0,0,0,8,0.931645833
58,1/4/2015,Quarter1,finishing,Sunday,1,0.8,3.94,,960,0,0,0,0,8,0.915229167
59,1/4/2015,Quarter1,sewing,Sunday,6,0.8,11.61,539,6975,50,0,0,0,31,0.879714482
60,1/4/2015,Quarter1,finishing,Sunday,4,0.8,3.94,,6600,0,0,0,0,20,0.861679012
61,1/4/2015,Quarter1,sewing,Sunday,9,0.8,26.16,1278,7080,60,0,0,0,59,0.850569492
62,1/4/2015,Quarter1,sewing,Sunday,7,0.8,25.9,1227,7020,60,0,0,0,56.5,0.850436438
63,1/4/2015,Quarter1,sewing,Sunday,8,0.8,25.9,1039,6780,45,0,0,0,56.5,0.850345133
64,1/4/2015,Quarter1,sewing,Sunday,4,0.8,28.08,878,4260,50,0,0,0,55.5,0.800598058
65,1/4/2015,Quarter1,sewing,Sunday,1,0.8,26.16,1033,7080,63,0,0,0,59,0.800318644
66,1/4/2015,Quarter1,sewing,Sunday,2,0.8,28.08,782,6660,50,0,0,0,55.5,0.800237838
67,1/4/2015,Quarter1,sewing,Sunday,12,0.8,11.61,1216,6975,50,0,0,0,31,0.800030199
68,1/4/2015,Quarter1,finishing,Sunday,2,0.8,3.94,,960,0,0,0,0,8,0.792104167
69,1/4/2015,Quarter1,finishing,Sunday,10,0.7,3.94,,4320,0,0,0,0,18,0.759228395
70,1/4/2015,Quarter1,sewing,Sunday,11,0.75,19.31,513,6480,45,0,0,0,54,0.750348457
71,1/4/2015,Quarter1,sewing,Sunday,3,0.75,19.87,734,6600,45,0,0,0,55,0.75024303
72,1/4/2015,Quarter1,sewing,Sunday,10,0.7,28.08,1202,6900,40,0,0,0,57.5,0.699965217
73,1/4/2015,Quarter1,finishing,Sunday,8,0.8,2.9,,960,0,0,0,0,8,0.682708333
74,1/4/2015,Quarter1,finishing,Sunday,7,0.8,2.9,,960,0,0,0,0,8,0.667604167
75,1/4/2015,Quarter1,sewing,Sunday,5,0.7,45.67,884,6960,26,0,0,0,58,0.603432184
76,1/4/2015,Quarter1,finishing,Sunday,11,0.75,4.15,,960,0,0,0,0,8,0.345833333
77,1/5/2015,Quarter1,finishing,Monday,1,0.8,3.94,,1920,0,0,0,0,8,0.961059028
78,1/5/2015,Quarter1,finishing,Monday,11,0.8,3.94,,2400,0,0,0,0,10,0.939513889
79,1/5/2015,Quarter1,finishing,Monday,4,0.8,3.94,,3840,0,0,0,0,16,0.893663194
80,1/5/2015,Quarter1,finishing,Monday,3,0.75,4.15,,1920,0,0,0,0,8,0.875390625
81,1/5/2015,Quarter1,sewing,Monday,9,0.8,26.16,1227,7080,75,0,0,0,59,0.850569492
82,1/5/2015,Quarter1,finishing,Monday,9,0.8,2.9,,1920,0,0,0,0,8,0.820833333
83,1/5/2015,Quarter1,finishing,Monday,2,0.8,3.94,,960,0,0,0,0,8,0.804416667
84,1/5/2015,Quarter1,sewing,Monday,7,0.8,25.9,1255,6780,50,0,0,0,56.5,0.800684366
85,1/5/2015,Quarter1,sewing,Monday,8,0.8,25.9,1047,6780,38,0,0,0,56.5,0.800684366
86,1/5/2015,Quarter1,sewing,Monday,1,0.8,26.16,1138,7080,63,0,0,0,59,0.800318644
87,1/5/2015,Quarter1,sewing,Monday,11,0.8,19.31,678,4800,50,0,0,0,55,0.800250962
88,1/5/2015,Quarter1,sewing,Monday,6,0.8,11.61,712,7200,50,0,0,0,32,0.800246011
89,1/5/2015,Quarter1,sewing,Monday,12,0.8,11.61,1037,7200,50,0,0,0,32,0.800246011
90,1/5/2015,Quarter1,sewing,Monday,2,0.8,28.08,757,6900,50,0,0,0,57.5,0.800076522
91,1/5/2015,Quarter1,sewing,Monday,4,0.8,28.08,759,6900,50,0,0,0,57.5,0.800076522
92,1/5/2015,Quarter1,finishing,Monday,10,0.75,2.9,,960,0,0,0,0,8,0.763375
93,1/5/2015,Quarter1,finishing,Monday,5,0.6,2.9,,960,0,0,0,0,8,0.759270833
94,1/5/2015,Quarter1,sewing,Monday,10,0.75,28.08,1083,7020,45,0,0,0,58.5,0.7504
95,1/5/2015,Quarter1,sewing,Monday,3,0.75,19.87,944,6600,45,0,0,0,55,0.75024303
96,1/5/2015,Quarter1,finishing,Monday,7,0.8,3.94,,960,0,0,0,0,8,0.676666667
97,1/5/2015,Quarter1,finishing,Monday,8,0.8,2.9,,960,0,0,0,0,8,0.664583333
98,1/5/2015,Quarter1,sewing,Monday,5,0.6,21.98,666,6960,23,0,0,0,58,0.600028736
99,1/6/2015,Quarter1,finishing,Tuesday,4,0.8,3.94,,4440,0,0,0,0,18,0.966781346
100,1/6/2015,Quarter1,finishing,Tuesday,1,0.8,3.94,,1440,0,0,0,0,8,0.936496212
101,1/6/2015,Quarter1,finishing,Tuesday,3,0.75,4.15,,1800,0,0,0,0,10,0.899166667
102,1/6/2015,Quarter1,finishing,Tuesday,11,0.8,4.15,,2700,0,0,0,0,15,0.888686869
103,1/6/2015,Quarter1,finishing,Tuesday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939
104,1/6/2015,Quarter1,sewing,Tuesday,1,0.8,26.16,1187,10620,75,0,0,0,59,0.850502311
105,1/6/2015,Quarter1,sewing,Tuesday,9,0.8,26.16,1305,10620,75,0,0,0,59,0.850502311
106,1/6/2015,Quarter1,finishing,Tuesday,10,0.75,3.94,,1440,0,0,0,0,8,0.809640152
107,1/6/2015,Quarter1,finishing,Tuesday,2,0.8,3.94,,1440,0,0,0,0,8,0.805909091
108,1/6/2015,Quarter1,sewing,Tuesday,2,0.8,28.08,716,10350,50,0,0,0,57.5,0.800594466
109,1/6/2015,Quarter1,sewing,Tuesday,4,0.8,28.08,925,10350,50,0,0,0,57.5,0.800594466
110,1/6/2015,Quarter1,sewing,Tuesday,3,0.8,19.87,963,9900,50,0,0,0,55,0.800273829
111,1/6/2015,Quarter1,sewing,Tuesday,12,0.8,11.61,1101,5310,50,0,0,0,31.5,0.800140969
112,1/6/2015,Quarter1,sewing,Tuesday,7,0.8,25.9,1035,10170,38,0,0,0,56.5,0.800128721
113,1/6/2015,Quarter1,sewing,Tuesday,8,0.8,25.9,1083,10170,38,0,0,0,56.5,0.800128721
114,1/6/2015,Quarter1,sewing,Tuesday,6,0.8,11.61,910,4470,38,0,0,0,31.5,0.80007657
115,1/6/2015,Quarter1,sewing,Tuesday,10,0.75,28.08,1209,10530,45,0,0,0,58.5,0.750545455
116,1/6/2015,Quarter1,sewing,Tuesday,11,0.75,19.31,590,9900,45,0,0,0,55,0.750057851
117,1/6/2015,Quarter1,finishing,Tuesday,8,0.8,2.9,,1440,0,0,0,0,8,0.681060606
118,1/6/2015,Quarter1,sewing,Tuesday,5,0.65,21.98,808,10440,35,0,0,0,58,0.649983281
119,1/6/2015,Quarter1,finishing,Tuesday,7,0.8,2.9,,1440,0,0,0,0,8,0.61625
120,1/7/2015,Quarter1,finishing,Wednesday,1,0.8,3.94,,1440,0,0,0,0,8,0.951420455
121,1/7/2015,Quarter1,finishing,Wednesday,9,0.8,3.94,,1440,0,0,0,0,8,0.880530303
122,1/7/2015,Quarter1,sewing,Wednesday,1,0.8,26.16,1179,10620,75,0,0,0,59,0.850502311
123,1/7/2015,Quarter1,sewing,Wednesday,9,0.8,26.16,1324,10620,75,0,0,0,59,0.850502311
124,1/7/2015,Quarter1,sewing,Wednesday,8,0.8,25.9,1135,10170,60,0,0,0,56.5,0.850136766
125,1/7/2015,Quarter1,finishing,Wednesday,3,0.75,4.15,,2700,0,0,0,0,15,0.83
126,1/7/2015,Quarter1,finishing,Wednesday,4,0.8,3.94,,4440,0,0,0,0,18,0.827186544
127,1/7/2015,Quarter1,finishing,Wednesday,2,0.8,3.94,,1440,0,0,0,0,8,0.813371212
128,1/7/2015,Quarter1,finishing,Wednesday,10,0.75,3.94,,1440,0,0,0,0,8,0.805909091
129,1/7/2015,Quarter1,finishing,Wednesday,7,0.8,2.9,,1440,0,0,0,0,8,0.804640152
130,1/7/2015,Quarter1,sewing,Wednesday,2,0.8,28.08,776,10350,63,0,0,0,57.5,0.800594466
131,1/7/2015,Quarter1,sewing,Wednesday,4,0.8,28.08,990,10350,50,0,0,0,57.5,0.800594466
132,1/7/2015,Quarter1,sewing,Wednesday,6,0.8,11.41,986,5490,50,0,0,0,30.5,0.800343766
133,1/7/2015,Quarter1,sewing,Wednesday,3,0.8,19.87,924,9900,50,0,0,0,55,0.800273829
134,1/7/2015,Quarter1,sewing,Wednesday,12,0.8,11.61,1120,5670,50,0,0,0,31.5,0.800246753
135,1/7/2015,Quarter1,sewing,Wednesday,7,0.8,25.9,1066,10170,50,0,0,0,56.5,0.800128721
136,1/7/2015,Quarter1,sewing,Wednesday,10,0.75,28.08,1144,10530,69,0,0,0,58.5,0.8
137,1/7/2015,Quarter1,sewing,Wednesday,5,0.7,21.98,413,9720,40,0,0,0,58,0.700480831
138,1/7/2015,Quarter1,finishing,Wednesday,8,0.8,2.9,,1440,0,0,0,0,8,0.681060606
139,1/7/2015,Quarter1,finishing,Wednesday,6,0.8,2.9,,1800,0,0,0,0,10,0.666515152
140,1/7/2015,Quarter1,sewing,Wednesday,11,0.8,31.83,568,9900,40,0,0,0,55,0.412119835
141,1/7/2015,Quarter1,finishing,Wednesday,5,0.7,4.15,,1440,0,0,0,0,8,0.330113636
142,1/8/2015,Quarter2,finishing,Thursday,1,0.8,3.94,,1440,0,0,0,0,8,0.947689394
143,1/8/2015,Quarter2,finishing,Thursday,4,0.8,3.94,,12600,0,0,0,0,20,0.919905405
144,1/8/2015,Quarter2,sewing,Thursday,9,0.8,26.16,1216,10620,88,0,0,0,59,0.900215716
145,1/8/2015,Quarter2,finishing,Thursday,9,0.8,3.94,,1440,0,0,0,0,8,0.891723485
146,1/8/2015,Quarter2,sewing,Thursday,1,0.8,26.16,1189,10620,75,0,0,0,59,0.850502311
147,1/8/2015,Quarter2,sewing,Thursday,4,0.8,28.08,942,10530,75,0,0,0,58.5,0.850181818
148,1/8/2015,Quarter2,sewing,Thursday,7,0.8,25.9,1050,10170,60,0,0,0,56.5,0.850136766
149,1/8/2015,Quarter2,sewing,Thursday,8,0.8,25.9,1026,10170,60,0,0,0,56.5,0.850136766
150,1/8/2015,Quarter2,finishing,Thursday,2,0.8,3.94,,1440,0,0,0,0,8,0.835757576
151,1/8/2015,Quarter2,finishing,Thursday,5,0.7,4.15,,3840,0,0,0,0,8,0.821354167
152,1/8/2015,Quarter2,sewing,Thursday,2,0.8,28.08,783,10050,63,0,0,0,58.5,0.800497246
153,1/8/2015,Quarter2,sewing,Thursday,3,0.8,19.87,857,9900,50,0,0,0,55,0.800273829
154,1/8/2015,Quarter2,sewing,Thursday,12,0.8,11.61,548,15120,63,0,0,0,31.5,0.800107143
155,1/8/2015,Quarter2,sewing,Thursday,6,0.8,11.41,411,14640,50,0,0,0,30.5,0.800024932
156,1/8/2015,Quarter2,sewing,Thursday,10,0.75,28.08,1066,10530,69,0,0,0,58.5,0.8
157,1/8/2015,Quarter2,finishing,Thursday,10,0.75,3.94,,1440,0,0,0,0,8,0.779791667
158,1/8/2015,Quarter2,finishing,Thursday,8,0.8,2.9,,1440,0,0,0,0,8,0.735984848
159,1/8/2015,Quarter2,finishing,Thursday,3,0.75,4.15,,2160,0,0,0,0,12,0.712626263
160,1/8/2015,Quarter2,finishing,Thursday,7,0.8,2.9,,1440,0,0,0,0,8,0.681060606
161,1/8/2015,Quarter2,finishing,Thursday,11,0.8,4.15,,900,0,0,0,0,5,0.515606061
162,1/8/2015,Quarter2,sewing,Thursday,11,0.35,12.52,287,25920,38,0,0,0,54,0.349951389
163,1/8/2015,Quarter2,sewing,Thursday,5,0.7,42.41,724,10260,0,0,0,0,57,0.233705476
164,1/10/2015,Quarter2,finishing,Saturday,1,0.8,3.94,,2160,0,0,0,0,8,0.985
165,1/10/2015,Quarter2,finishing,Saturday,3,0.75,4.15,,2760,0,0,0,0,12,0.930340376
166,1/10/2015,Quarter2,finishing,Saturday,4,0.8,3.94,,6000,0,0,0,0,20,0.911589744
167,1/10/2015,Quarter2,finishing,Saturday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939
168,1/10/2015,Quarter2,sewing,Saturday,9,0.8,26.16,1122,10620,75,0,0,0,59,0.851174114
169,1/10/2015,Quarter2,sewing,Saturday,7,0.8,25.9,970,10170,60,0,0,0,56.5,0.850136766
170,1/10/2015,Quarter2,sewing,Saturday,8,0.8,25.9,1158,10170,60,0,0,0,56.5,0.850136766
171,1/10/2015,Quarter2,finishing,Saturday,10,0.8,3.94,,1440,0,0,0,0,8,0.846950758
172,1/10/2015,Quarter2,finishing,Saturday,11,0.8,4.15,,1440,0,0,0,0,8,0.817424242
173,1/10/2015,Quarter2,finishing,Saturday,2,0.8,3.94,,1440,0,0,0,0,8,0.817102273
174,1/10/2015,Quarter2,sewing,Saturday,4,0.8,28.08,660,10440,63,0,0,0,58,0.801028213
175,1/10/2015,Quarter2,sewing,Saturday,2,0.8,28.08,749,10350,63,0,0,0,57.5,0.800594466
176,1/10/2015,Quarter2,sewing,Saturday,12,0.8,11.61,893,4710,50,0,0,0,31.5,0.800346445
177,1/10/2015,Quarter2,sewing,Saturday,6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766
178,1/10/2015,Quarter2,sewing,Saturday,1,0.8,26.16,1335,10620,63,0,0,0,59,0.800117103
179,1/10/2015,Quarter2,sewing,Saturday,10,0.8,28.08,1082,10530,63,0,0,0,58.5,0.8
180,1/10/2015,Quarter2,sewing,Saturday,3,0.75,19.87,1075,7080,45,0,0,0,56,0.750098351
181,1/10/2015,Quarter2,sewing,Saturday,11,0.5,12.52,749,9540,38,0,0,0,53,0.673245283
182,1/10/2015,Quarter2,finishing,Saturday,7,0.8,2.9,,1440,0,0,0,0,8,0.670075758
183,1/10/2015,Quarter2,finishing,Saturday,8,0.8,2.9,,1440,0,0,0,0,8,0.628882576
184,1/10/2015,Quarter2,sewing,Saturday,5,0.5,20.79,966,7680,0,0,0,0,56,0.388007813
185,1/10/2015,Quarter2,finishing,Saturday,5,0.5,4.15,,1440,0,0,0,0,8,0.337973485
186,1/11/2015,Quarter2,finishing,Sunday,3,0.75,4.15,,1440,0,0,0,0,8,0.93532197
187,1/11/2015,Quarter2,finishing,Sunday,4,0.8,3.94,,3600,0,0,0,0,20,0.925643939
188,1/11/2015,Quarter2,sewing,Sunday,9,0.8,26.16,1095,10620,88,0,0,0,59,0.900215716
189,1/11/2015,Quarter2,finishing,Sunday,1,0.8,3.94,,1440,0,0,0,0,8,0.873068182
190,1/11/2015,Quarter2,finishing,Sunday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939
191,1/11/2015,Quarter2,sewing,Sunday,1,0.8,26.16,1383,10620,75,0,0,0,59,0.850502311
192,1/11/2015,Quarter2,sewing,Sunday,7,0.8,25.9,1012,10170,45,0,0,0,56.5,0.850136766
193,1/11/2015,Quarter2,sewing,Sunday,8,0.8,25.9,1209,10170,60,0,0,0,56.5,0.850136766
194,1/11/2015,Quarter2,finishing,Sunday,10,0.8,3.94,,1440,0,0,0,0,8,0.828295455
195,1/11/2015,Quarter2,finishing,Sunday,2,0.8,3.94,,1440,0,0,0,0,8,0.820833333
196,1/11/2015,Quarter2,sewing,Sunday,6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766
197,1/11/2015,Quarter2,sewing,Sunday,12,0.8,11.61,896,5670,50,0,0,0,31.5,0.800246753
198,1/11/2015,Quarter2,sewing,Sunday,2,0.8,28.08,805,10530,63,0,0,0,58.5,0.8
199,1/11/2015,Quarter2,sewing,Sunday,2,0.8,28.08,805,10530,63,0,0,0,58.5,0.8
200,1/11/2015,Quarter2,sewing,Sunday,2,0.8,28.08,805,10530,63,0,0,0,58.5,0.8
201,1/11/2015,Quarter2,sewing,Sunday,10,0.8,28.08,762,10530,38,0,0,0,58.5,0.8
202,1/11/2015,Quarter2,sewing,Sunday,3,0.8,19.87,1043,6420,0,0,0,0,55,0.690182815
203,1/11/2015,Quarter2,finishing,Sunday,11,0.8,4.15,,1440,0,0,0,0,8,0.668087121
204,1/11/2015,Quarter2,finishing,Sunday,8,0.8,2.9,,1440,0,0,0,0,8,0.653598485
205,1/11/2015,Quarter2,finishing,Sunday,5,0.5,4.15,,1440,0,0,0,0,8,0.609138258
206,1/11/2015,Quarter2,sewing,Sunday,11,0.6,12.52,831,9540,30,0,0,0,53,0.600229846
207,1/11/2015,Quarter2,finishing,Sunday,6,0.8,2.9,,1440,0,0,0,0,8,0.597348485
208,1/11/2015,Quarter2,finishing,Sunday,7,0.8,2.9,,1440,0,0,0,0,8,0.590435606
209,1/11/2015,Quarter2,sewing,Sunday,4,0.8,50.48,562,10440,0,0,0,0,58,0.473134796
210,1/11/2015,Quarter2,sewing,Sunday,5,0.6,20.79,1208,7980,0,0,0,0,57,0.452979626
211,1/12/2015,Quarter2,finishing,Monday,1,0.8,3.94,,1440,0,0,0,0,8,0.955151515
212,1/12/2015,Quarter2,finishing,Monday,4,0.35,4.3,,3240,0,0,0,0,18,0.942213805
213,1/12/2015,Quarter2,finishing,Monday,3,0.8,4.15,,1800,0,0,0,0,10,0.905454545
214,1/12/2015,Quarter2,finishing,Monday,2,0.8,3.94,,1440,0,0,0,0,8,0.880530303
215,1/12/2015,Quarter2,finishing,Monday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939
216,1/12/2015,Quarter2,sewing,Monday,1,0.8,26.16,1099,8220,75,0,0,0,59,0.850522167
217,1/12/2015,Quarter2,sewing,Monday,9,0.8,26.16,1093,10620,75,0,0,0,59,0.850502311
218,1/12/2015,Quarter2,sewing,Monday,7,0.8,25.9,1031,10170,60,0,0,0,56.5,0.850136766
219,1/12/2015,Quarter2,sewing,Monday,8,0.8,25.9,1233,10170,60,0,0,0,56.5,0.850136766
220,1/12/2015,Quarter2,finishing,Monday,6,0.8,2.9,,1440,0,0,0,0,8,0.817424242
221,1/12/2015,Quarter2,finishing,Monday,5,0.65,4.15,,1440,0,0,0,0,8,0.809564394
222,1/12/2015,Quarter2,sewing,Monday,3,0.8,19.87,941,9900,0,0,0,0,55,0.800273829
223,1/12/2015,Quarter2,sewing,Monday,6,0.8,11.41,843,5670,50,0,0,0,31.5,0.800181818
224,1/12/2015,Quarter2,sewing,Monday,12,0.8,11.61,760,4470,50,0,0,0,31.5,0.80007657
225,1/12/2015,Quarter2,sewing,Monday,2,0.8,28.08,737,10530,63,0,0,0,58.5,0.8
226,1/12/2015,Quarter2,finishing,Monday,8,0.8,2.9,,1440,0,0,0,0,8,0.725
227,1/12/2015,Quarter2,sewing,Monday,10,0.8,50.48,381,6930,45,0,0,0,58.5,0.688557555
228,1/12/2015,Quarter2,sewing,Monday,5,0.65,20.79,1141,8460,0,0,0,0,59,0.650040783
229,1/12/2015,Quarter2,sewing,Monday,11,0.65,12.52,1004,9540,44,0,0,0,53,0.64998056
230,1/12/2015,Quarter2,finishing,Monday,7,0.8,2.9,,1440,0,0,0,0,8,0.648106061
231,1/12/2015,Quarter2,finishing,Monday,11,0.8,4.15,,1440,0,0,0,0,8,0.640577652
232,1/12/2015,Quarter2,sewing,Monday,4,0.35,22.4,581,7350,0,0,0,0,51.5,0.35063299
233,1/12/2015,Quarter2,finishing,Monday,10,0.8,3.94,,1440,0,0,0,0,8,0.24625
234,1/13/2015,Quarter2,finishing,Tuesday,4,0.35,4.3,,2160,0,0,0,0,12,0.952020202
