Employee_ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,YearsSinceLastPromotion
1,41,1,Travel_Rarely,1102,Sales,1,2,Life_Sciences,2,Female,94,3,2,Sales_Executive,4,Single,5993,19479,8,Y,Yes,11,0
2,49,0,Travel_Frequently,279,Research_and_Development,8,1,Life_Sciences,3,Male,61,2,2,Research_Scientist,2,Married,5130,24907,1,Y,No,23,1
3,37,1,Travel_Rarely,1373,Research_and_Development,2,2,Other,4,Male,92,2,1,Laboratory_Technician,3,Single,2090,2396,6,Y,Yes,15,0
4,33,0,Travel_Frequently,1392,Research_and_Development,3,4,Life_Sciences,4,Female,56,3,1,Research_Scientist,3,Married,2909,23159,1,Y,Yes,11,3
5,33,0,Travel_Frequently,1392,Research_and_Development,3,4,Life_Sciences,4,Female,56,3,1,Research_Scientist,3,Married,2909,23159,1,Y,Yes,11,3
6,33,0,Travel_Frequently,1392,Research_and_Development,3,4,Life_Sciences,4,Female,56,3,1,Research_Scientist,3,Married,2909,23159,1,Y,Yes,11,3
7,27,0,Travel_Rarely,591,Research_and_Development,2,1,Medical,1,Male,40,3,1,Laboratory_Technician,2,Married,3468,16632,9,Y,No,12,2
8,32,0,Travel_Frequently,1005,Research_and_Development,2,2,Life_Sciences,4,Male,79,3,1,Laboratory_Technician,4,Single,3068,11864,0,Y,No,13,3
9,59,0,Travel_Rarely,1324,Research_and_Development,3,3,Medical,3,Female,81,4,1,Laboratory_Technician,1,Married,2670,9964,4,Y,Yes,20,0
10,30,0,Travel_Rarely,1358,Research_and_Development,24,1,Life_Sciences,4,Male,67,3,1,Laboratory_Technician,3,Divorced,2693,13335,1,Y,No,22,0
11,38,0,Travel_Frequently,216,Research_and_Development,23,3,Life_Sciences,4,Male,44,2,3,Manufacturing_Director,3,Single,9526,8787,0,Y,No,21,1
12,36,0,Travel_Rarely,1299,Research_and_Development,27,3,Medical,3,Male,94,3,2,Healthcare_Representative,3,Married,5237,16577,6,Y,No,13,7
13,35,0,Travel_Rarely,809,Research_and_Development,16,3,Medical,1,Male,84,4,1,Laboratory_Technician,2,Married,2426,16479,0,Y,No,13,0
14,29,0,Travel_Rarely,153,Research_and_Development,15,2,Life_Sciences,4,Female,49,2,2,Laboratory_Technician,3,Single,4193,12682,0,Y,Yes,12,0
15,31,0,Travel_Rarely,670,Research_and_Development,26,1,Life_Sciences,1,Male,31,3,1,Research_Scientist,3,Divorced,2911,15170,1,Y,No,17,4
16,34,0,Travel_Rarely,1346,Research_and_Development,19,2,Medical,2,Male,93,3,1,Laboratory_Technician,4,Divorced,2661,8758,0,Y,No,11,1
17,28,1,Travel_Rarely,103,Research_and_Development,24,3,Life_Sciences,3,Male,50,2,1,Laboratory_Technician,3,Single,2028,12947,5,Y,Yes,14,0
18,29,0,Travel_Rarely,1389,Research_and_Development,21,4,Life_Sciences,2,Female,51,4,3,Manufacturing_Director,1,Divorced,9980,10195,1,Y,No,11,8
19,32,0,Travel_Rarely,334,Research_and_Development,5,2,Life_Sciences,1,Male,80,4,1,Research_Scientist,2,Divorced,3298,15053,0,Y,Yes,12,0
20,22,0,Non-Travel,1123,Research_and_Development,16,2,Medical,4,Male,96,4,1,Laboratory_Technician,4,Divorced,2935,7324,1,Y,Yes,13,0
21,53,0,Travel_Rarely,1219,Sales,2,4,Life_Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3
22,38,0,Travel_Rarely,371,Research_and_Development,2,3,Life_Sciences,4,Male,45,3,1,Research_Scientist,4,Single,3944,4306,5,Y,Yes,11,1
23,24,0,Non-Travel,673,Research_and_Development,11,2,Other,1,Female,96,4,2,Manufacturing_Director,3,Divorced,4011,8232,0,Y,No,18,1
24,36,1,Travel_Rarely,1218,Sales,9,4,Life_Sciences,3,Male,82,2,1,Sales_Representative,1,Single,3407,6986,7,Y,No,23,0
25,34,0,Travel_Rarely,419,Research_and_Development,7,4,Life_Sciences,1,Female,53,3,3,Research_Director,2,Single,11994,21293,0,Y,No,11,2
26,21,0,Travel_Rarely,391,Research_and_Development,15,2,Life_Sciences,3,Male,96,3,1,Research_Scientist,4,Single,1232,19281,1,Y,No,14,0
