Rank,Artist,Album,Certified_Units_Millions,Estimated_Wholesale_USD,Certification_Level,Certification_Type,Source
1,Eagles,Their Greatest Hits 1971-1975,38,76000000,Diamond (38× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
2,Michael Jackson,Thriller,33,66000000,Diamond (33× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
3,Eagles,Hotel California,26,52000000,Diamond (26× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
4,AC/DC,Back in Black,25,50000000,Diamond (25× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
5,The Beatles,The Beatles,24,48000000,Diamond (24× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
6,Billy Joel,Greatest Hits Volume I & Volume II,23,46000000,Diamond (23× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
7,Led Zeppelin,Led Zeppelin IV,23,46000000,Diamond (23× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
8,Pink Floyd,The Wall,23,46000000,Diamond (23× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
9,Garth Brooks,Double Live,21,42000000,Diamond (21× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
10,Hootie & The Blowfish,Cracked Rear View,21,42000000,Diamond (21× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
11,Fleetwood Mac,Rumours,20,40000000,Diamond (20× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
12,Shania Twain,Come On Over,20,40000000,Diamond (20× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
13,Garth Brooks,No Fences,18,36000000,Diamond (18× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
14,Guns N’ Roses,Appetite for Destruction,18,36000000,Diamond (18× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
15,Whitney Houston,The Bodyguard [Soundtrack],18,36000000,Diamond (18× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
16,Boston,Boston,17,34000000,Diamond (17× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
17,Elton John,Greatest Hits,17,34000000,Diamond (17× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
18,The Beatles,The Beatles 1967 – 1970,17,34000000,Diamond (17× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
19,Alanis Morissette,Jagged Little Pill,16,32000000,Diamond (16× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
20,Bee Gees,Saturday Night Fever,16,32000000,Diamond (16× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
21,Led Zeppelin,Physical Graffiti,16,32000000,Diamond (16× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
22,Metallica,Metallica,16,32000000,Diamond (16× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
23,Bob Marley & The Wailers,Legend,15,30000000,Diamond (15× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
24,Bruce Springsteen,Born in the U.S.A.,15,30000000,Diamond (15× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
