Rank,Artist,Album,Genre,Certified_Units_Millions,Estimated_Wholesale_USD,Certification_Level,Certification_Type,Source
1,Eagles,Their Greatest Hits 1971-1975,Rock,38,76000000,Diamond (38× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
2,Michael Jackson,Thriller,Pop,33,66000000,Diamond (33× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
3,Eagles,Hotel California,Rock,26,52000000,Diamond (26× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
4,AC/DC,Back in Black,Metal,25,50000000,Diamond (25× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
5,The Beatles,The Beatles,Rock,24,48000000,Diamond (24× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
6,Billy Joel,Greatest Hits Volume I & Volume II,Pop,23,46000000,Diamond (23× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
7,Led Zeppelin,Led Zeppelin IV,Rock,23,46000000,Diamond (23× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
8,Pink Floyd,The Wall,Rock,23,46000000,Diamond (23× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
9,Garth Brooks,Double Live,Country,21,42000000,Diamond (21× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
10,Hootie & The Blowfish,Cracked Rear View,Alternative/Indie,21,42000000,Diamond (21× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
11,Fleetwood Mac,Rumours,Rock,20,40000000,Diamond (20× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
12,Shania Twain,Come On Over,Country,20,40000000,Diamond (20× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
13,Garth Brooks,No Fences,Country,18,36000000,Diamond (18× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
14,Guns N’ Roses,Appetite for Destruction,Metal,18,36000000,Diamond (18× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
15,Whitney Houston,The Bodyguard [Soundtrack],R&B/Soul,18,36000000,Diamond (18× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
16,Boston,Boston,Other,17,34000000,Diamond (17× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
17,Elton John,Greatest Hits,Other,17,34000000,Diamond (17× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
18,The Beatles,The Beatles 1967 – 1970,Rock,17,34000000,Diamond (17× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
19,Alanis Morissette,Jagged Little Pill,Alternative/Indie,16,32000000,Diamond (16× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
20,Bee Gees,Saturday Night Fever,Other,16,32000000,Diamond (16× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
21,Led Zeppelin,Physical Graffiti,Rock,16,32000000,Diamond (16× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
22,Metallica,Metallica,Metal,16,32000000,Diamond (16× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
23,Bob Marley & The Wailers,Legend,Reggae,15,30000000,Diamond (15× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
24,Bruce Springsteen,Born in the U.S.A.,Rock,15,30000000,Diamond (15× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
25,Journey,Greatest Hits,Rock,15,30000000,Diamond (15× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
26,Pink Floyd,Dark Side of the Moon,Rock,15,30000000,Diamond (15× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
27,Santana,Supernatural,Latin,15,30000000,Diamond (15× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
28,The Beatles,The Beatles 1962 – 1966,Rock,15,30000000,Diamond (15× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
29,Adele,21,Pop,14,28000000,Diamond (14× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
30,Backstreet Boys,Backstreet Boys,Pop,14,28000000,Diamond (14× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
31,Britney Spears,…Baby One More Time,Pop,14,28000000,Diamond (14× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
32,Garth Brooks,Ropin’ The Wind,Country,14,28000000,Diamond (14× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
33,Meat Loaf,Bat Out Of Hell,Other,14,28000000,Diamond (14× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
34,Simon & Garfunkel,Simon & Garfunkel’s Greatest Hits,Other,14,28000000,Diamond (14× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
35,Steve Miller Band,Greatest Hits 1974 – 1978,Rock,14,28000000,Diamond (14× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
36,Backstreet Boys,Millennium,Pop,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
37,Bruce Springsteen,Bruce Springsteen & E Street Band Live 1975 – ’85,Rock,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
38,Carole King,Tapestry,Other,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
39,Pearl Jam,Ten,Rock,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
40,Prince & The Revolution,Purple Rain [Soundtrack],R&B/Soul,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
41,Dixie Chicks,Wide Open Spaces,Country,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
42,Whitney Houston,Whitney Houston,R&B/Soul,13,26000000,Diamond (13× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
43,Bon Jovi,Slippery When Wet,Rock,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
44,Boyz II Men,II,R&B/Soul,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
45,Celine Dion,Falling Into You,Pop,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
46,Def Leppard,Hysteria,Metal,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
47,Jewel,Pieces of You,Other,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
48,Kenny G,Breathless,Other,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
49,Kenny Rogers,Kenny Rogers’ Greatest Hits,Country,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
50,Led Zeppelin,Led Zeppelin II,Rock,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
51,Linkin Park,Hybrid Theory,Alternative/Indie,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
52,Matchbox Twenty,Yourself Or Someone Like You,Alternative/Indie,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
53,Phil Collins,No Jacket Required,Other,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
54,Shania Twain,The Woman In Me,Country,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
55,Various Artists,Forrest Gump [Soundtrack],Soundtrack,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
56,The Beatles,Abbey Road,Rock,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
57,The Rolling Stones,Hot Rocks,Other,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
58,TLC,Crazysexycool,R&B/Soul,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
59,Tom Petty & The Heartbreakers,Greatest Hits,Other,12,24000000,Diamond (12× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
